AccountID,NumTransactions,AvgAmount,MaxAmount,TotalIn,MaxIn,TotalOut,MaxCashOut,MaxDebit,MaxTransfer,MaxPayment,MaxFreqH,MaxFreqD
C0001143040,562,146658.53298932387,3585064.01,35124031.74,424498.32,47298063.8,284531.0,8893.26,3585064.01,27070.99,12,84
C0001332727,178,128888.997752809,903276.53,13396604.25,341238.53,9545637.35,258056.33,0.0,903276.53,21396.14,6,33
C0002641069,56,146342.3567857143,2571512.49,4547603.6,293992.4,3647568.38,204095.4,3594.16,2571512.49,14710.21,2,8
C0002967890,103,117303.43233009709,3554689.54,3016367.57,392633.82,9065885.96,247445.6,23100.2,3554689.54,24640.16,4,22
C0003513711,50,144333.0408,1563406.66,4462829.33,264727.14,2753822.71,142728.98,3080.34,1563406.66,16098.56,2,8
C0003846706,11,51792.119090909095,215554.25,0.0,0.0,569713.31,215554.25,0.0,0.0,14197.56,2,6
C0003920445,129,168848.96875968992,2336774.13,5652983.54,336982.74,16128533.43,263497.44,8844.91,2336774.13,18232.34,5,22
C0004619361,16,68351.973125,316737.34,344081.77,170923.38,749549.8,141585.75,1162.83,316737.34,13211.83,2,5
C0005549664,179,120979.62608938548,2655853.51,11993189.08,336745.77,9662163.99,254466.07,0.0,2655853.51,23303.11,5,25
C0006059809,1345,152462.79592565057,4684513.48,97415324.36,447431.14,107647136.16,353242.95,16336.55,4684513.48,26200.12,21,215
C0010962780,23,117110.96173913043,257236.12,2647668.45,257236.12,45883.67,45883.67,0.0,0.0,0.0,1,4
C0011014774,261,160020.46268199233,2552276.4,15773805.51,372769.1,25991535.25,303799.23,6510.28,2552276.4,25742.17,9,46
C0014453826,4,36394.82,126162.24,0.0,0.0,145579.28,126162.24,0.0,0.0,9010.08,1,2
C0015726513,17,135395.74,453353.5,1754066.54,270212.84,547661.04,85906.73,0.0,453353.5,7587.15,2,3
C0015956708,71,128529.41338028168,1712262.44,3130651.4,224320.97,5994936.95,274099.28,5282.8,1712262.44,23068.67,3,12
C0016078499,622,142330.94763665597,3031946.12,46518261.91,439334.34,42011587.52,319516.22,5237.38,3031946.12,25477.27,16,106
C0017598515,19,107763.48315789476,283151.21,597575.92,221994.92,1449930.26,247967.39,0.0,283151.21,23286.3,2,3
C0019573488,246,168094.6331300813,3396298.5,14620907.3,341115.91,26730372.45,275728.3,2276.69,3396298.5,19823.95,7,44
C0023020870,26,178350.1096153846,1782635.93,792159.78,170197.36,3844943.07,206842.3,0.0,1782635.93,18350.36,2,5
C0023082197,11,139395.02727272728,261974.15,1394919.67,261974.15,138425.63,98267.53,0.0,0.0,0.0,2,2
C0024498047,152,145440.69953947366,1636435.6,9750864.02,294721.86,12356122.31,268836.55,0.0,1636435.6,18380.08,4,24
C0024930563,114,121673.43271929825,1531476.78,5993131.49,313458.73,7877639.84,194982.76,12333.3,1531476.78,18641.71,4,21
C0025007512,232,138236.45387931034,1369550.77,17661488.37,348667.04,14409368.93,318208.7,6687.21,1369550.77,20822.49,6,30
C0027526047,247,122227.8254251012,1298242.66,16896577.03,314786.42,13293695.85,291387.56,5722.66,1298242.66,43421.84,8,37
C0028446717,17,96956.86,301026.98,844870.36,241573.51,803396.26,171946.55,14875.79,301026.98,8888.32,2,4
C0029129885,15,187337.888,599523.49,1814631.14,243882.36,995437.18,95195.22,0.0,599523.49,16728.53,2,3
C0030003546,239,139406.0440167364,2380905.04,14982925.92,346522.06,18335118.6,257938.56,10266.03,2380905.04,30973.04,6,37
C0030735204,110,158404.4020909091,3849727.8,4384309.95,397400.51,13040174.28,253116.27,0.0,3849727.8,18656.12,4,20
C0031193745,17,155019.3376470588,1374739.65,212288.63,212288.63,2423040.11,252627.66,1035.07,1374739.65,13236.62,2,3
C0032956656,68,160507.90602941177,2204017.52,6692738.6,274648.68,4221799.01,120080.73,0.0,2204017.52,24149.38,3,13
C0034780459,42,143210.79833333334,1034153.45,4477341.5,381161.53,1537512.03,187147.13,3322.49,1034153.45,20520.67,2,9
C0035112044,39,137148.4823076923,1041203.65,3871226.28,291207.24,1477564.53,244340.3,0.0,1041203.65,5489.19,2,8
C0035162490,141,155043.4770212766,2483320.1,5228906.97,314508.18,16632223.29,222491.45,4775.47,2483320.1,26767.76,6,25
C0035298362,87,115097.68735632184,1418272.28,4344371.81,323713.55,5669126.99,241655.54,947.62,1418272.28,21565.42,3,17
C0036158887,85,135925.39847058823,1346831.36,7716850.13,293315.77,3836808.74,219787.48,9076.61,1346831.36,18388.64,4,17
C0036596458,702,138802.01405982906,2907260.7,47954339.49,387108.5,49484674.38,289431.25,39080.8,2907260.7,35865.74,15,122
C0038091814,20,71337.7115,168561.65,1119792.77,168561.65,306961.46,117185.53,811.75,0.0,22149.28,2,4
C0038132709,187,148800.68347593583,3005189.28,7236560.8,312241.67,20589167.01,286459.87,5167.32,3005189.28,26130.4,7,29
C0038740889,262,165674.1287022901,2361300.18,17847552.64,372524.47,25559069.08,294932.69,0.0,2361300.18,25536.64,7,39
C0039645962,16,133627.72375,270824.77,1852539.47,270824.77,285504.11,101888.73,0.0,1635.57,0.0,1,2
C0042240138,111,116910.28954954956,1366222.74,7646413.15,319521.34,5330628.99,234600.9,1473.02,1366222.74,20734.02,5,19
C0043639190,33,211899.4590909091,4341374.82,670748.79,213690.75,6321933.36,140445.22,14325.56,4341374.82,19409.0,2,6
C0044490740,209,147684.10650717703,2511747.65,12333495.15,312226.73,18532483.11,289391.17,0.0,2511747.65,29685.03,5,30
C0044572080,173,138224.81861271677,1593343.33,13751860.46,395770.53,10161033.16,290936.36,7479.6,1593343.33,15818.49,6,32
C0045427875,537,148084.6088454376,2986141.18,35763577.9,532287.95,43757857.05,263464.74,1305.33,2986141.18,21931.14,14,84
C0045743118,77,122439.71662337662,2224497.49,1710010.59,233019.11,7717847.590000001,234500.01,6187.28,2224497.49,16388.67,3,10
C0046027247,308,138874.95461038963,2855699.28,23096052.87,359845.22,19677433.15,263073.94,0.0,2855699.28,20954.07,8,44
C0046650771,97,110770.30164948454,1848654.38,3994745.1,340596.27,6749974.16,274354.76,4397.89,1848654.38,25636.15,5,13
C0047934478,68,122520.91705882351,831899.42,5422243.18,280909.37,2909179.18,267154.07,4487.9,831899.42,23487.27,4,19
C0048480521,163,159340.9574846626,2729975.16,13989184.54,314942.29,11983391.53,320848.57,0.0,2729975.16,17290.41,6,32
C0049633346,96,210594.27,6015344.32,4045803.12,271909.44,16171246.8,256186.67,3573.62,6015344.32,25508.38,4,18
C0049935282,12,263585.3216666667,1068866.07,679625.6799999999,185847.96,2483398.18,141875.47,0.0,1068866.07,15600.49,2,3
C0051233880,11,100695.87909090907,247959.43,1096923.45,247959.43,10731.22,0.0,0.0,0.0,10731.22,1,3
C0051521128,4,142967.43,246819.66,571869.72,246819.66,0.0,0.0,0.0,0.0,0.0,1,2
C0052690554,242,138687.05896694216,2321968.19,18422025.53,340910.85,15140242.74,275886.94,10629.2,2321968.19,22720.39,7,35
C0054142273,8,464486.51875,2826126.98,527942.74,216943.01,3187949.41,0.0,0.0,2826126.98,6496.83,1,2
C0055291093,5,71681.118,107644.26,353207.31,107644.26,5198.28,0.0,0.0,5198.28,0.0,1,1
C0055628790,55,182955.1605454545,2586858.42,2072519.57,232176.66,7990014.26,244033.35,7152.45,2586858.42,17702.66,3,9
C0057050911,268,154772.72835820896,3542975.08,20686938.01,398422.41,20792153.19,3542975.08,11785.44,2252982.5,19665.92,7,45
C0064368820,212,160436.7954245283,3900172.24,12908852.33,330683.62,21103748.3,248455.25,14660.65,3900172.24,30039.18,6,35
C0067394251,176,140510.12073863635,3479343.47,7543495.37,354388.69,17186285.88,284262.2,6125.06,3479343.47,37883.48,7,33
C0068103137,74,137047.22972972973,1406262.9,3856170.96,320532.42,6285324.04,291910.91,0.0,1406262.9,15943.09,3,12
C0071073497,207,129477.2545410628,1742459.78,15097833.63,321747.81,11703958.06,281804.75,0.0,1742459.78,21054.48,8,31
