AccountID,Fraudster
C4133222161,0
C8665070455,0
C9148601312,0
C1221811177,0
C5209415529,0
C8939367191,1
C3644335737,1
C5304844483,0
C6622556257,1
C4878696771,0
C4370951086,0
C5728662536,0
C3889111195,0
C9768849149,0
C2990096928,0
C1329569827,1
C9829293016,0
C5774416538,0
C1517072211,0
C3900437803,0
C7667314633,0
C8276609151,0
C1649973764,0
C4181324927,0
C1957680415,0
C3735764402,0
C7197291660,0
C4627248231,0
C8911200493,0
C8660711432,0
C0522329729,1
C8677973146,0
C6178134417,0
C0335277059,0
C0281107996,1
C8254259600,0
C4114431719,0
C1217039256,0
C3840589961,0
C7725440701,0
C3690741188,0
C4795489538,0
C6917863703,0
C1674113781,0
C0423959818,0
C1703769944,0
C8422532968,0
C8893245332,0
C3463005031,0
C2832406739,0
C6614543556,0
C6795579964,0
C1982023231,0
C7926669229,1
C2664802056,0
C5477012091,0
C0806837545,0
C2311426118,0
C6650845719,0
C6104327928,0
C3009975856,0
C2462936613,0
C8079322947,0
C4091543638,0
C9115327089,0
C6642415091,0
C8861794638,0
C2843145547,0
C9503585632,0
C7446816565,1
C1181451648,1
C6210459953,0
C8506758472,0
C5182310376,0
C8515427772,1
C6806638542,0
C9401664214,0
C5359369430,0
C7856348869,0
C0724816935,0
C4940615101,1
C8974444562,0
C3082113783,0
C8460668405,0
C5253034524,0
C6542697905,0
C6562972548,0
C7239759081,0
C7222043884,0
C2273007781,0
C8812511450,0
C4232414788,0
C0888133292,0
C1543254660,0
C2300695735,0
C4151628721,1
C5308129338,0
C2941111150,1
C6970680634,0
C6790519326,0
C8148999312,1
C0190286552,0
C3923294083,0
C6016774134,0
C6978835606,0
C3016082370,0
C7760350844,0
C5687515203,1
C5049037935,0
C8720469182,0
C3300465017,1
C0308279836,0
C0043639190,0
C8763507790,0
C8170347112,0
C0971642902,0
C7025665729,1
C3231112927,0
C7936558323,1
C1772844888,0
C8278647496,0
C8829864939,0
C4717494722,0
C4148228805,0
C9208951867,1
C9540484668,0
C7527444399,0
C8707488975,0
C6635964895,0
C7728580172,1
C7012925570,0
C0228809253,0
C8981042838,0
C9973707443,0
C9999270763,1
C5426953115,1
C2753607915,0
C7981940707,0
C5821419412,0
C2516428294,1
C3490064416,0
C0698700956,0
C6420716454,0
C9551486688,0
C9445817053,0
C7132981533,0
C7749137471,0
C0605678624,0
C2307453441,0
C3867139756,1
C0604320884,0
C7319488808,0
C0551793465,0
C8910153693,0
C5895305398,0
C5048982703,0
C7508601726,0
C7895230532,0
C3751730360,0
C7903524430,0
C2047290233,0
C9369822043,0
C1129885687,1
C0683654709,0
C3798507579,0
C6109034572,0
C5085462582,0
C1418461224,0
C2065276581,0
C9809610226,0
C4181391044,1
C2926449681,0
C7956362649,0
C5105418908,0
C4307633916,0
C8917026071,0
C8410283038,0
C5899203395,0
C6627961994,0
C9493190833,0
C6104941417,0
C1861212465,0
C9048996436,0
C6734529331,0
C3208080039,0
C8713566790,0
C3083719875,0
C8423832072,0
C6924307344,0
C1788605331,0
C7327952029,0
C2059669984,0
C5443325072,0
C5470291943,0
C1103372534,0
C9129186974,0
C5089210035,0
C4275245412,0
C6646175190,0
C6194598238,1
C6154640957,0
C1900801607,0
C7382893978,0
C7739268809,1
C3476745334,0
C8211496972,0
C8633379157,0
C5794353139,0
C0546250617,0
C1011670747,0
C4830883951,0
C0737909474,0
C2127211398,0
C0343699121,0
C3914412907,0
C6238427004,0
C3151868218,0
C3876310396,0
C1425029129,0
C4111164016,0
C8524931742,0
C7496410014,0
C7620361747,0
C8414092027,0
C4977725161,0
C7718943448,0
C8230041216,0
C7857316019,0
C7722819889,0
C2804701199,0
C8119222274,0
C7436710841,0
C2121961735,0
C1116454292,1
C4314694072,0
C6417836990,0
C5316470228,0
C8719708552,0
C1171687179,0
C3203239791,0
C5749248443,0
C1136967460,1
C6931324142,0
C6588303631,0
C8450515110,0
C8595407111,0
C5495579677,0
C0698536510,1
C6148393313,0
C9154864997,0
C1174815803,0
C6641491594,0
C0163214544,0
C2794150938,1
C3271876976,0
C9813437056,0
C9137922087,0
C5052921288,0
C4370306568,0
C8881422061,0
C9204288137,0
C9417100435,0
C6053699930,0
C5538319084,0
C3384911148,0
C1415529839,1
C3853692386,0
C7227949902,1
C1469537590,1
C0207349543,0
C6487340425,0
C5681781189,0
C1733804997,1
C7605433662,0
C6560700124,0
C1312256801,0
C0003920445,0
C7790572671,0
C3101068899,0
C8906156956,0
C6822493641,0
C0471647561,0
C6877931625,0
C4246495844,1
C4548272704,0
C6853531458,0
C8377043365,0
C2909164027,0
C3218299243,0
C0735375891,0
C7444171615,0
C6839264450,0
C0501164655,0
C9811999060,1
C7288653545,0
C0534062187,0
C8789621287,1
C2851223167,0
C6574789592,0
C1400276848,1
C3191253757,0
C8477908098,0
C0867116819,0
C3361623831,0
C8271605343,1
C6062570529,0
C9387805830,0
C2501104328,0
C4364076316,0
C1878740960,0
C1851201419,0
C2651898996,0
C7252998594,0
C0370172459,0
C8080992324,1
C3314198574,0
C9474276300,0
C5126715114,0
C5439866829,1
C7099432644,1
C8898075981,0
C4734762147,0
C1126299619,0
C3272827045,0
C4520026716,0
C9984258005,0
C1286240711,0
C6036086229,0
C6042110944,0
C8130121219,0
C3530557718,0
C4954672497,1
C4126419604,0
C3689174749,0
C5034459907,0
C3267455820,0
C0025007512,0
C2429803039,0
C4013391499,0
C0532607979,0
C7429324060,0
C5173758430,1
C5289745672,1
C0320867383,1
C6795078394,0
C0404072723,0
C4541293186,0
C3421154383,0
C0893822735,0
C0536458549,0
C3328273092,0
C1964557302,0
C3608890539,0
C7486074549,0
C8529430768,0
C9533078297,0
C1763327515,0
C0432953713,0
C4396247032,0
C1535313193,1
C8011928150,0
C6536897029,0
C3483888239,0
C3770089063,0
C4612491065,0
C8247031234,0
C1564385093,1
C4901229596,1
C1903774058,0
C8405697127,0
C6007146098,0
C4977542668,0
C7218910167,0
C3974734509,0
C5576345981,0
C4947975410,0
C8919816605,0
C4893699093,1
C4174447925,1
C8936914925,0
C5297173399,0
C3608795086,0
C2346128140,1
C1289351448,0
C5734497287,0
C6105198061,0
C5679349077,0
C6679784539,0
C6967019070,0
C3875877765,0
C8414442412,0
C5547019681,0
C9056587258,1
C5573846996,0
C3228010278,1
C0470403601,0
C2221628432,0
C9696102531,0
C9756835780,1
C4905080365,0
C7539581673,0
C0720123704,0
C7480270503,0
C9259700173,0
C5033504222,0
C2939582466,0
C7616792646,1
C2471762592,0
C5918545996,0
C7693450804,0
C9392556930,1
C1207646604,0
C9992694721,0
C4529671877,0
C8991550781,0
C7420148831,0
C1893588982,0
C2806415230,0
C7312677113,1
C9466755170,0
C0003846706,0
C1092359923,0
C6076525525,0
C8555079408,0
C8900533160,0
C5622377135,0
C4201437718,0
C1261565019,0
C8761758172,0
C7515521082,0
C8594048675,0
C8172003363,1
C9464896649,0
C7606938361,1
C8131454113,0
C5332769889,0
C8348944503,0
C2546118809,0
C2939912072,0
C9151913817,0
C5745674805,0
C5632726471,0
C3868307618,0
C9213065139,0
C2375048735,0
C1522588604,0
C8116712533,1
C6602129346,0
C8924148098,0
C0676353668,0
C5820116075,0
C1332673367,0
C0751888957,0
C1629059057,0
C4948696300,0
C1308420565,0
C3853383756,0
C1521192234,0
C3112471649,0
C4971592972,0
C7678669052,0
C9173998798,1
C8885294379,0
C4672808579,0
C7710570469,0
C4828917467,1
C6560497755,1
C3197638422,0
C1804448020,0
C0955951267,0
C6347739626,0
C0773817120,0
C6807324003,1
C8917121495,0
C3331144239,0
C7376974883,1
C4470748452,1
C8495545911,0
C4806633441,0
C7504946539,1
C8193139140,0
C2341926020,0
C4978836788,0
C7984911955,0
C9770715831,0
C1041947113,0
C8579403819,0
C6530091116,0
C1887903932,0
C5706799417,0
C5572812386,1
C8815510161,0
C9632695147,0
C2873532841,0
C1804592023,0
C5057867009,1
C7613234222,0
C5726671449,1
C1370278966,0
C4235464899,0
C2164943916,0
C9022768238,0
C2572660716,0
C5134386655,0
C1400539097,1
C4448237024,0
C0414881294,1
C7140230310,0
C5156055135,0
C3183114125,0
C2145732308,0
C0962126264,0
C5360452789,0
C1836519838,1
C6664011215,0
C4099501968,0
C6443683956,0
C5545545672,0
C2178400219,0
C3220965837,0
C5751053911,0
C3207969825,0
C8744084690,0
C1857365251,0
C0352997227,1
C8274648431,0
C4804261549,0
C3315236762,0
C9626740229,0
C4522685195,0
C0289049541,1
C9017959779,0
C8942513008,0
C4680282668,0
C3665813700,0
C9852390546,0
C8502003355,1
C6945096238,1
C8990914640,0
C9344502791,0
C1605871669,1
C1740965702,0
C8977799463,0
C1582539585,1
C5949963817,0
C8953745466,1
C5857506103,0
C6160115809,0
C6093532377,0
C4144982579,1
C3155969621,0
C3929902363,0
C3637883529,0
C5154307813,0
C3346821820,0
C5867835647,0
C8109702516,0
C0170826054,0
C0848252881,1
C7027409780,0
C3713011057,0
C0808555278,0
C3816622461,0
C3421842661,1
C6805246946,0
C1821011991,0
C7585012731,0
C0306824240,0
C6172456454,0
C4585204587,0
C4890749986,0
C2803897172,0
C9255004861,0
C2056484616,0
C8241423536,0
C6125136485,0
C1828396937,1
C2432014468,0
C2551598936,1
C6933621314,1
C9821321616,0
C1699010913,0
C3653283652,0
C3662796903,0
C8229566143,0
C3959021943,0
C0583859899,0
C9357609908,0
C4544062366,0
C3092171479,0
C0387168840,0
C3118521760,1
C5471570637,0
C7538656290,0
C7216932126,0
C0211270934,0
C7825715553,0
C6007261672,1
C2145739785,1
C4421403108,0
C9689676123,0
C5374769082,0
C9625350581,0
C0992690821,1
C8779229477,0
C7244823274,0
C1989561348,0
C4890932674,0
C8277529046,0
C0088596071,0
C2476010422,0
C3143875247,0
C5887099522,0
C6074073916,1
